z_id,coupling_type,times,lats,lons,winds
EQ-200912180845003496139128551__TC-TY0911,TY-EQ,2009-08-30T15:00:00Z,32.1,140.3,28.29442
EQ-200912180845003496139128551__TC-TY0911,TY-EQ,2009-08-30T18:00:00Z,32.7,140.0,30.86664
EQ-200912180845003496139128551__TC-TY0911,TY-EQ,2009-08-30T21:00:00Z,33.1,139.9,30.86664
EQ-200912180845003496139128551__TC-TY0911,TY-EQ,2009-08-31T00:00:00Z,33.5,139.9,30.86664
EQ-200912180845003496139128551__TC-TY0911,TY-EQ,2009-08-31T03:00:00Z,34.0,139.9,28.29442
EQ-200912180845003496139128551__TC-TY0911,TY-EQ,2009-08-31T06:00:00Z,34.6,140.5,28.29442
EQ-200912180845003496139128551__TC-TY0911,TY-EQ,2009-08-31T09:00:00Z,35.4,141.0,28.29442
EQ-200912180845003496139128551__TC-TY0911,TY-EQ,2009-08-31T12:00:00Z,36.4,141.5,25.7222
EQ-200912180845003496139128551__TC-TY0911,TY-EQ,2009-08-31T15:00:00Z,37.2,142.1,25.7222
EQ-200912180845003496139128551__TC-TY0911,TY-EQ,2009-08-31T18:00:00Z,38.3,142.9,25.7222
EQ-200912180845003496139128551__TC-TY0911,TY-EQ,2009-08-31T21:00:00Z,39.4,143.8,23.14998
EQ-200912180845003496139128551__TC-TY0911,TY-EQ,2009-09-01T00:00:00Z,40.3,144.6,23.14998
EQ-200912180845003496139128551__TC-TY0911,TY-EQ,2009-09-01T06:00:00Z,42.2,146.3,23.14998
EQ-200912180845003496139128551__TC-TY0911,TY-EQ,2009-09-01T12:00:00Z,42.9,148.2,0.0
EQ-200912180845003496139128551__TC-TY0911,TY-EQ,2009-09-01T18:00:00Z,43.3,150.3,0.0
EQ-200912180845003496139128551__TC-TY0911,TY-EQ,2009-09-02T00:00:00Z,43.5,152.8,0.0
EQ-200912180845003496139128551__TC-TY0911,TY-EQ,2009-09-02T06:00:00Z,43.4,155.6,0.0
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-09-29T06:00:00Z,9.6,160.4,0.0
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-09-29T12:00:00Z,10.6,157.4,0.0
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-09-29T18:00:00Z,10.9,156.8,0.0
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-09-30T00:00:00Z,11.5,156.2,18.00554
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-09-30T06:00:00Z,12.6,154.8,20.57776
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-09-30T12:00:00Z,12.9,154.0,23.14998
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-09-30T18:00:00Z,13.0,153.5,28.29442
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-01T00:00:00Z,13.6,153.2,33.43886
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-01T06:00:00Z,13.9,152.5,38.5833
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-01T12:00:00Z,14.1,152.0,41.15552
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-01T18:00:00Z,14.0,151.4,46.29996
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-02T00:00:00Z,14.2,151.1,48.87218
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-02T06:00:00Z,14.5,150.6,48.87218
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-02T12:00:00Z,15.0,149.9,48.87218
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-02T18:00:00Z,15.4,148.8,48.87218
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-03T00:00:00Z,15.6,147.9,48.87218
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-03T06:00:00Z,16.2,146.8,46.29996
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-03T12:00:00Z,16.5,145.3,48.87218
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-03T18:00:00Z,16.5,143.7,51.4444
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-04T00:00:00Z,16.6,142.3,54.01662
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-04T06:00:00Z,17.0,140.9,56.58884
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-04T12:00:00Z,17.5,139.4,56.58884
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-04T18:00:00Z,17.9,137.7,56.58884
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-05T00:00:00Z,18.5,136.3,54.01662
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-05T06:00:00Z,19.2,134.8,54.01662
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-05T12:00:00Z,20.0,133.6,48.87218
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-05T18:00:00Z,21.2,132.5,46.29996
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-06T00:00:00Z,22.5,131.7,46.29996
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-06T06:00:00Z,23.9,130.9,43.72774
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-06T09:00:00Z,24.5,130.8,43.72774
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-06T12:00:00Z,25.1,130.7,43.72774
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-06T15:00:00Z,25.7,130.5,43.72774
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-06T18:00:00Z,26.5,130.8,43.72774
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-06T21:00:00Z,27.3,131.0,43.72774
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-07T00:00:00Z,28.2,131.5,43.72774
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-07T03:00:00Z,29.0,131.8,41.15552
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-07T06:00:00Z,29.9,132.5,41.15552
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-07T09:00:00Z,30.8,133.2,41.15552
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-07T12:00:00Z,31.6,134.3,41.15552
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-07T15:00:00Z,32.9,135.6,38.5833
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-07T18:00:00Z,34.0,136.6,38.5833
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-07T19:00:00Z,34.2,136.9,38.5833
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-07T20:00:00Z,34.6,136.9,38.5833
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-07T21:00:00Z,35.1,137.2,33.43886
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-08T00:00:00Z,36.1,138.8,30.86664
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-08T03:00:00Z,37.1,139.7,30.86664
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-08T06:00:00Z,38.4,141.2,28.29442
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-08T09:00:00Z,39.0,142.3,28.29442
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-08T12:00:00Z,40.0,143.6,0.0
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-08T18:00:00Z,41.3,145.6,0.0
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-09T00:00:00Z,42.2,147.7,0.0
EQ-20091218054100363331397187851__TC-TY0918,TY-EQ,2009-10-09T06:00:00Z,43.2,150.0,0.0
